"","Year","softwood.timber","hardwood.timber","biodiversity","carbon","flood.regulation","recreation","livestock","crop.service","employment"
"1",2015,76.611,5.858,53430.743,32828.998,4765.14,5967.33,733.633,217.216,2298.4
"2",2016,76.611,5.858,53430.743,32828.998,4765.14,5967.33,733.633,217.216,2298.4
"3",2017,76.611,5.858,53430.743,32828.998,4765.14,5967.33,733.633,217.216,2298.4
"4",2018,76.611,5.858,53430.743,32828.998,4765.14,5967.33,733.633,217.216,2298.4
"5",2019,76.611,5.858,53430.743,32828.998,4765.14,5967.33,733.633,217.216,2298.4
"6",2020,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
"7",2021,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
"8",2022,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
"9",2023,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
"10",2024,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
"11",2025,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
"12",2026,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
"13",2027,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
"14",2028,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
"15",2029,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
"16",2030,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
"17",2031,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
"18",2032,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
"19",2033,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
"20",2034,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
"21",2035,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
"22",2036,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
"23",2037,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
"24",2038,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
"25",2039,76.611,5.858,106861.486,59092.1964,9053.766,10144.461,366.8165,217.216,3677.44
